2023 DN WORLD CHAMPIONSHIP,,,,,,,,,,,,
"Lake Kegonsa - Stoughton, Wisconsin",,,,,,,,,,,,
"Results are provisional as of 15:45 on January 24, 2023",,,,,,,,,,,,
GOLD Fleet,,,,,,,,,,,,
"Sailed: 6, Discards: 1, To count: 5, Entries: 37, Scoring system: DN Scoring System",,,,,,,,,,,,
Rank,Sail No.,First,Last,Nat,R1,R2,R3,R4,R5,R6,Total,Nett
1st,US 183,MATT,STRUBLE,USA,(9),4,3,1,1,6,24,15
2nd,P 36,KAROL,JABLONSKI,POL,2,2,4,4,(6),5,23,17
3rd,P 155,LUKASZ,ZAKRZEWSKI,POL,(5),5,2,5,5,2,24,19
4th,P 31,ROBERT,GRACYK,POL,(38 DNF),1,5,2,2,9,57,19
5th,P 243,ADAM,SZCZESNY,POL,11,(23),1,7,7,4,53,30
6th,P 55,TOMASZ,ZAKRZEWSKI,POL,(38 DSQ),7,7,3,4,10,69,31
7th,S 714,OSKAR,SVENSSON,SWE,10,3,10,10,(12),1,46,34
8th,US 5224,JAMES T,THIELER,USA,(17),10,9,6,8,3,53,36
9th,US 5166,CHRIS,BERGER,USA,6,8,6,8,9,(16),53,37
10th,US 4487,CHAD,ATKINS,USA,7,13,8,13,3,(17),61,44
11th,US 44,RON,SHERRY,USA,(24),9,11,9,10,11,74,50
12th,KC 5629,ROBIN,LAGRAVIERE,CAN,12,6,13,(23),13,8,75,52
13th,S 887,GUSTAV,LINDEN,SWE,13,(20),12,11,15,12,83,63
14th,G 107,BERND,ZEIGER,GER,1,(33),28,17,16,7,102,69
15th,US 4,GRIFFIN,SHERRY,USA,3,(27),14,19,19,20,102,75
16th,KC 5508,NICOLAS,MABBOUX,CAN,16,15,(19),16,11,18,95,76
17th,G 936,JOST,KOLB,GER,(28),11,15,12,24,15,105,77
18th,US 60,JOHN,HARPER,USA,4,14,25,22,17,(38 DNC),120,82
19th,US 5603,BENJAMIN,WITMAN,USA,15,(30),17,21,18,14,115,85
20th,KC 2766,PETER,VAN ROSSEM,CAN,18,12,(26),26,14,21,117,91
21st,US 3535,JEFF,KENT,USA,22,22,(38 DNF),14,22,25,143,105
22nd,US 5352,DANIEL,HEARN,USA,20,(29),16,27,21,23,136,107
23rd,US 807,JR,FRANCIS,USA,14,21,30,20,(32),27,144,112
24th,US 321,MIKE,BLOOM,USA,21,28,23,(31),20,24,147,116
25th,US 5219,KENT,BAKER,USA,26,19,21,28,25,(29),148,119
26th,US 5633,PETER,JOHANSON,USA,(38 DNF),16,22,18,38 DNF,26,158,120
27th,KC 5247,JACEK,MARZENSKI,CAN,(38 DNF),17,24,15,38 DSQ,31,163,125
28th,US 5469,OLIVER,MOORE,USA,(38 DSQ),18,18,24,27,38 DNC,163,125
29th,US 4975,ROBBIE,EVANS,USA,(38 DSQ),34,27,32,26,13,170,132
30th,S 713,RICHARD,GUSTRING,SWE,23,24,32,25,31,(38 DNC),173,135
31st,US 3283,BRUCE,WILLIAMS,USA,(38 DNF),25,34,29,29,19,174,136
32nd,US 5630,KAREN,BINDER,USA,19,31,29,30,28,(33),170,137
33rd,US 3,JIM,GROGAN,USA,25,32,31,(33),23,28,172,139
34th,US 5451,ANDREW,ALLEN,USA,(38 DNF),35,20,34,30,22,179,141
35th,US 4868,JULIE,RICHARDS,USA,8,37,36,(38 DNF),38 DNF,32,189,151
36th,G 737,JOERG,BOHN,GER,29,26,33,36,34,(38 DNC),196,158
37th,US 4882,RICHARD,WOLLAM,USA,27,(36),35,35,33,30,196,160
SILVER Fleet,,,,,,,,,,,,
"Sailed: 5, Discards: 1, To count: 4, Entries: 35, Scoring system: DN Scoring System",,,,,,,,,,,,
Rank,Sail No.,First,Last,Nat,R1,R2,R3,R4,R5,R6,Total,Nett
1st,KC 5514,JOHN,CURTIS,CAN,1,(8),1,1,7, ,18,10
2nd,US 5435,JODY,KJOLLER,USA,2,5,3,2,(8), ,20,12
3rd,S 867,DIDERIC,VAN RIEMSDIJK,SWE,11,1,2,3,(20), ,37,17
4th,KC 4360,ANDRE,BABY,CAN,9,3,4,(18),3, ,37,19
5th,KC 4536,BOB,CRINION,CAN,4,10,5,5,(36 DNF), ,60,24
6th,US 5144,STEFAN,BOKFORS,SWE,5,6,(14),13,1, ,39,25
7th,US 5430,BILL,CUTTING,USA,7,7,6,7,(17), ,44,27
8th,US 4638,GUY,LOVEJOY,USA,(16),4,8,6,10, ,44,28
9th,US 5590,CHRIS,GORDON,USA,17,14,7,4,(29), ,71,42
10th,US 5996,ERIC,DOYLE,USA,(32),2,11,8,21, ,74,42
11th,US 4155,RICK,LEMBERG SR,USA,(25),13,12,9,9, ,68,43
12th,US 637,JOSEPH,MEADE,USA,12,9,10,(14),14, ,59,45
13th,US 5700,PAUL,CHAMBERLAND,USA,3,12,16,17,(19), ,67,48
14th,US 4148,TIM,DIXON,USA,14,(24),13,19,2, ,72,48
15th,US 4249,DAVE,GLICK,USA,(18),11,9,11,18, ,67,49
16th,US 5498,RICHARD,GORDON,USA,6,21,17,10,(25), ,79,54
17th,US 3314,BILL,BUCHHOLZ,USA,(36 DNF),15,26,12,6, ,95,59
18th,US 602,THOMAS,MEYER,USA,21,16,18,(23),5, ,83,60
19th,US 1011,SAMUEL,BARTEL,USA,20,17,(22),20,4, ,83,61
20th,KC 3786,WARREN,NETHERCOTE,CAN,10,(26),21,21,11, ,89,63
21st,S 832,RASMUS,SODERMAN,USA,13,19,(25),16,15, ,88,63
22nd,US 5358,DAVID,FROST,USA,8,20,15,(26),23, ,92,66
23rd,US 5670,BRYON,EICHORN,USA,15,25,24,(27),13, ,104,77
24th,US 445,BOB,CAVE,USA,23,18,(27),15,24, ,107,80
25th,US 5638,STEVEN,BROWN,USA,24,(29),20,28,16, ,117,88
26th,US 5432,BILL,EKLUND,USA,30,22,19,25,(36 DNS), ,132,96
27th,US 5397,ERIN,BURY,USA,(33),33,29,22,12, ,129,96
28th,US 1313,BOB,RAST,USA,22,23,28,24,(36 DNS), ,133,97
29th,US 2360,PETE,JOHNS,USA,19,28,(31),31,22, ,131,100
30th,US 1277,HAL,BOWMAN,USA,(36 DNF),30,23,30,27, ,146,110
31st,US 3433,ROBERT,CUMMINS,USA,28,27,30,29,(31), ,145,114
32nd,US 5540,RICK,BISHOP,USA,26,32,(33),32,26, ,149,116
33rd,US 4783,RHEA,NICHOLAS,USA,27,31,32,(36 DNF),36 DNS, ,162,126
34th,US 4137,KEN,SMITH JR.,USA,29,34,(35),33,30, ,161,126
35th,KC 5457,COLIN,DUNCAN,CAN,31,(35),34,34,28, ,162,127
BRONZE Fleet,,,,,,,,,,,,
"Sailed: 5, Discards: 1, To count: 4, Entries: 33, Scoring system: DN Scoring System",,,,,,,,,,,,
Rank,Sail No.,First,Last,Nat,R1,R2,R3,R4,R5,R6,Total,Nett
1st,US 5522,KYLE,METZLOFF,USA,(8),1,2,1,2, ,14,6
2nd,US 3947,JAY,WHITEHAIR,USA,1,2,(3),3,1, ,10,7
3rd,US 5687,JEFF,ROSEBERRY,USA,(16),3,1,2,7, ,29,13
4th,US 5465,DONALD,NILES,USA,(9),4,7,5,3, ,28,19
5th,US 5486,ROBBIE,DANIEL,USA,6,8,4,6,(18), ,42,24
6th,US 5990,SEAN,HEALEY,USA,12,(34 DSQ),5,4,5, ,60,26
7th,US 5558,COOPER,FROST,USA,(18),7,8,8,4, ,45,27
8th,US 5777,MILO,FLEMING,USA,2,11,(12),9,9, ,43,31
9th,US 467,MICHAEL,RIAN SR,USA,(32),6,15,7,6, ,66,34
10th,US 5646,MATT,MEYER,USA,5,(17),9,14,8, ,53,36
11th,US 882,PAUL,KRUTTY,USA,3,12,(21),13,17, ,66,45
12th,US 4925,SCOTT,VALENTINE,USA,25,5,6,10,(28), ,74,46
13th,US 5252,JAKE,SKALA,USA,11,13,10,(25),16, ,75,50
14th,KC 5493,ROBIN,WYNNE-EDWARDS,CAN,10,19,14,11,(24), ,78,54
15th,KC 5515,JIM,FOSTER,CAN,13,10,17,15,(25), ,80,55
16th,US 5813,KEITH,SCHWARK,USA,15,(21),16,12,14, ,78,57
17th,KC 3475,LESTER,DRUIVEN,CAN,(24),9,13,24,12, ,82,58
18th,US 5871,TIM,MOWER,USA,4,14,27,(31),20, ,96,65
19th,US 5576,RAY,GAUTHIER,USA,22,(34 DSQ),18,16,13, ,103,69
20th,US 5914,EDWARD,DEMEREST,USA,14,16,(26),18,21, ,95,69
21st,US 2377,JACOB,FEISLEY,USA,19,(22),20,17,15, ,93,71
22nd,US 5661,TIM,BELLARD,USA,28,15,11,19,(29), ,102,73
23rd,US 5608,NOAH,HALLERMAN,USA,17,24,25,(28),10, ,104,76
24th,KC 5674,ALAN,GODDARD,CAN,20,20,19,20,(23), ,102,79
25th,US 1873,MARTHA,CROASDALE,USA,21,(23),22,22,19, ,107,84
26th,US 65,ROBERT,GRAY,USA,7,(34 DNF),34 DNF,34 DNS,11, ,120,86
27th,US 5665,JOHN,BAULDRY,USA,23,(25),23,23,22, ,116,91
28th,US 5805,RICHARD,GLUCKMAN,USA,(30),18,30,21,27, ,126,96
29th,US 599,BRETT,HULSEY,USA,(29),27,24,29,26, ,135,106
30th,US 5043,GAIL,TURLUCK,USA,27,26,29,(30),30, ,142,112
31st,US 5530,JEFF,HASELER,USA,(31),28,28,26,31, ,144,113
32nd,Z 102,PATRICE,LAGRAVIERE,CAN,26,(34 DNF),31,27,34 DNS, ,152,118
33rd,P 71,LESZEK,ZIOLKOWSKI,POL,(34 DNF),34 DNF,34 DNF,34 DNS,34 DNS, ,170,136
 ,,,,,,,,,,,,
 ,,,,,,,,,,,,
 ,,,,,,,,,,,,
 ,,,,,,,,,,,,
Sailwave Scoring Software 2.28.1,,,,,,,,,,,,
www.sailwave.com,,,,,,,,,,,,
