1966,NED Kess Kortenoever,NED Jan Dick Wevers,SWE Hans Bergkvist
1967,NED Bouw van Wijik,NED Wim van Hacker,SWE Sune Lind
1968,NED Bouw van Wijik,AUT Dieter Handl,NED Jan Eindhoven
1969,NED Jan Eindhoven,AUT Heinrich Reiter,NED Frits Meeuwissen
1971,SUN Endel Vooremaa,SWE Helga Roden,SUN Helmuth Leppik
1972,SUN Endel Vooremaa,USA Jan Gougeon,SUN Helmuth Leppik
1973,SUN Endel Vooremaa,SUN Helmuth Leppik,SUN Vello Jurio
1976,SWE Ole Bloomquist,DEU Hans Molter,SWE Rolf Anderson
1977,PRL Piotr Burczyński,SUN Endel Vooremaa,SUN Roland Berdash
1978,SUN Vello Kuusk,PRL Bogdan Kramer,SUN Juri Szaraszkin
1979,BRD Robert Ettl,BRD Peter Kopany,PRL Bogdan Kramer
1980,PRL Bogdan Kramer,SUN Matti Kuulmann,SUN Ain Vilde
1981,PRL Bogdan Kramer,SUN Matti Kuulmann,PRL Stanisław Macur
1982,SUN Matti Kuulmann,PRL Piotr Burczyński,SWE Goran Tell
1983,SUN Vaiko Voorema,PRL Piotr Burczyński,PRL Bogdan Kramer
1984,PRL Bogdan Kramer,SUN Tait Haagma,PRL Piotr Burczyński
1985,SUN Vaiko Voorema,PRL Karol Jabłoński,PRL Piotr Burczyński
1987,PRL Władysław Stefanowicz,PRL Piotr Burczyński,BRD Peter Kopany
1988,PRL Piotr Burczyński,PRL Andrzej Dalecki,BRD Andreas Bock
1989,PRL Piotr Burczyński,DEU Andreas Bock,PRL Stanisław Macur
1990,SWE Soren Snackestrom,POL Władysław Stefanowicz,EST Matti Kuulmann
1991,EST Matti Kuulmann,EST Rein Veider,EST Vaiko Voorema
1992,POL Karol Jabłoński,POL Andrzej Dalecki,POL Władysław Stefanowicz
1993,POL Stanisław Macur,EST Rein Veider,EST Matti Kuulmann
1995,EST Vaiko Vooremaa,SWE Luks Ake,SWE Stefan Jarudd
1996,SWE Thomas Karlsson,POL Karol Jabłoński,EST Vaiko Voorema
1997,SWE Thomas Karlsson,POL Karol Jabłoński,SWE Tomas Lindgren
1998,SWE Thomas Karlsson,DEU Bernd Zeiger ,POL Karol Jabłoński
1999,SWE Tomas Lindgren,POL Karol Jabłoński,DEU Bernd Zeiger
2000,DEU Bernd Zeiger,SWE Luks Ake,POL Karol Jabłoński
2001,POL Karol Jabłoński,POL Michał Burczyński,HUN Dann Shute
2002,USA Ron Sherry,POL Karol Jabłoński,POL Michał Burczyński
2003,SWE Thomas Karlsson,DEU Bernd Zeiger,POL Michał Burczyński
2004,POL Michał Burczyński,USA Ron Sherry,SWE Fredrik Longren
2005,POL Michał Burczyński,EST Vaiko Vooremaa,USA Ron Sherry
2007,DEU Andreas Bock,POL Michał Burczyński,EST Vaiko Vooremaa
2008,USA Matt Struble,USA Ron Sherry,POL Michał Burczyński
2009,EST Vaiko Vooremaa,POL Łukasz Zakrzewski,POL Michał Burczyński
2010,DEU Bernd Zeiger,POL Michał Burczyński,USA Ron Sherry
2011,POL Karol Jabłoński,POL Łukasz Zakrzewski,POL Robert Graczyk
2013,POL Karol Jabłoński,POL Tomasz Zakrzewski,HUN Peter Hamrak
2014,POL Karol Jabłoński,EST Vaiko Vooremaa,USA Ron Sherry
2015,POL Karol Jabłoński,POL Michał Burczyński,POL Łukasz Zakrzewski
2016,USA Ron Sherry,POL Michał Burczyński,LVA Madars Alvikis
2017,POL Karol Jabłoński,POL Michał Burczyński,POL Łukasz Zakrzewski
2018,USA Ron Sherry,POL Michał Burczyński,POL Karol Jabłoński
2019,POL Jarek Radzki,POL Tomasz Zakrzewski,EST Mihkel Kosk
2022,POL Łukasz Zakrzewski,POL Tomasz Zakrzewski,POL Jarek Radzki
2023,POL Tomasz Zakrzewski,EST Mihkel Kosk,POL Robert Graczyk
2024,POL Michał Burczyński,POL Łukasz Zakrzewski,POL Jarek Radzki
