1967,Józef Mikulski,Piotr Burczyński,Tadeusz Wierzbicki
1968,Marian Bełbot,Krzysztof Witczak,J. Belzerowski
1969,Jan Bronicki,Robert Adamiec,Stanisław Grabowski
1970,Adam Kamiński,Jerzy Kulewicz,Robert Adamiec
1971,Marian Bełbot,Janusz Pietrzak,Andrzej Staszewski
1972,Zbigniew Stanisławski,Władysław Stefanowicz,Wiesław Marcińczyk
1973,Romulad Pietrzak,Zbigniew Stanisławski,
1974,Wojciech Jaszczur-Nowicki,Krzysztof Makiewicz,Jan Gotto
1975,Wojciech Nowicki,,Andrzej Dalecki
1976,Wojciech Jaszczur-Nowicki,,
1977,Krzysztof Kosiński,Janusz Frydrych,Wojciech Jaszczur-Nowicki
1978,Andrzej Dalecki,Bogdan Marciński,Andrzej Michalczyk
1979,Andrzej Michalczyk,Karol Jabłoński,Marek Kacpura
1980,Mirosław Kołodziejczyk,Piotr Królikowski,Jarosław Wojewski
1981,Karol Jabłoński,Piotr Królikowski,Robert Makarewicz
1982,Mariusz Kaźmierczak,Stanisław Mickiewicz,Arkadiusz Kozak
1983,Stanisław Mickiewicz,Arkadiusz Kozak,Jarosław Stanisławski
1984,Arkadiusz Kozak,Dariusz Dołęga,Dariusz Runo
1985,Stanisław Ostrowski,Włodzimierz Radwaniecki,Jakub Shneider
1986,Jarosław Radzki,Dariusz Runo,Roman Morgaś
1987,Dariusz Kardaś,Marcin Czałbowski,Marek Stefaniuk
1988,Dariusz Kardaś,Marek Stefaniuk,Paweł Burczyński
1989,,,
1990,,,
1991,Łukasz Burczyński,Cezary Bigda,Robert Kozioł
1992,Paweł Kacprowski,,
1993,,,
1994,Tomasz Stańczyk,Mariusz Marcińczyk,Hubert Szustak
1995,,,
1996,Tomasz Stańczyk,Tomasz Zakrzewski,Dariusz Suliński
1997,,,
1998,Michał Burczyński,Tomasz Gorszczaruk,Adam Szczęsny
1999,,,Tomasz Gorszczaruk
2000,Michał Burczyński,P. Krauschar,Michał Kotwica
2001,Michał Burczyński,Michał Kotwica,Patryk Bednarczyk
2002,Michał Burczyński,Michał Kotwica,Łukasz Zakrzewski
2003,Patryk Bednarczyk,Łukasz Zakrzewski,Grzegorz Prokopowicz
2004,Patryk Piasecki,Grzegorz Prokopowicz,Łukasz Zakrzewski
2005,Grzegorz Prokopowicz,Łukasz Zakrzewski,Grzegorz Grabowski
2006,Tomasz Klunder,Mateusz Borysewicz,Jakub Stanisławski
2007,Piotr Günther,Tomasz Klunder,Jakub Michalczyk
2008,,,
2009,,Tomasz Klunder,Michał Morgaś
2010,Miłosz Wojewski,Piotr Günther,Michał Staszewsk
2011,Piotr Günther,,Miłosz Wojewski
2012,,,
2013,Jakub Stanisławski,,
2014,Jędrzej Wissuwa,Paweł Roszkowski,Konrad Ziółkowski
2015,,,
2016,,,
2017,Mikołaj Mickiewica,Jędrzej Wissuwa,Maciej Chmielewski
2018,Piotr Bernay,Wojciech Klimaszewski,Jakub Krynicki
2021,Gustaw Miciński,Borys Michniewicz,Wojciech Klimaszewski
