1968,,Andrzej Iwiński,Andrzej Iwiński / Ludwik Raczyński,
1974,,Andrzej Iwiński,Andrzej Iwiński,
1979,,Andrzej Iwiński,Andrzej Iwiński / Ludwik Raczyński,
1980,,Andrzej Iwiński,Andrzej Iwiński,
1981,,Andrzej Iwiński,Andrzej Iwiński,
1982,,Andrzej Iwiński,Andrzej Iwiński,
1983,,Andrzej Iwiński,Andrzej Iwiński,
1984,,Andrzej Iwiński,Andrzej Iwiński,
1985,,Andrzej Iwiński,Andrzej Iwiński,
1986,,Andrzej Iwiński,Andrzej Iwiński,
1987,,Andrzej Iwiński,Andrzej Iwiński,
1988,,Andrzej Iwiński,Andrzej Iwiński,
1989,,Andrzej Iwiński,Andrzej Iwiński,
1990,,Andrzej Iwiński,Andrzej Iwiński / Henryk Blaszka,
1991,,Andrzej Iwiński,Andrzej Iwiński / Henryk Blaszka,
1992,,Andrzej Iwiński,Andrzej Iwiński / Henryk Blaszka,
1999,,Henryk Blaszka / Marcin Kledzik,,
2001,,Henryk Blaszka / Tomasz Kledzik,,
2003,,Henryk Blaszka / Tomasz Kledzik,,
2004,,Henryk Blaszka / Tomasz Kledzik,,
2005,,Henryk Blaszka / Tomasz Kledzik,,
2006,,Henryk Blaszka / Tomasz Kledzik,,
2007,,Henryk Blaszka / Tomasz Kledzik,,
2011,,Paweł Świderski / Marcin Zawistowski,Henryk Blaszka / Tomasz Kledzik,Ireneusz Pierwoła-Górski / Piotr Tyszkiewicz
2012,,Ireneusz Pierwoła-Górski / Wojciech Ożedżeński,Henryk Blaszka / Tomasz Kledzik,Paweł Swiderski / Marcin Zawistowski
2015,,Ireneusz Pierwoła-Górski / Piotr Tyszkiewicz,Henryk Blaszka / Tomasz Kledzik,Paweł Swiderski / Marcin Zawistowski
2016,,Maciej Rokosz / Piotr Tyszkiewicz,Jacek Tyszkiewicz / Katarzyna Sobieraj,Henryk Blaszka / Tomasz Kledzik
2017,,Maciej Rokosz / Tomasz Kledzik,Paweł Żebrowski / Maciej Żebrowski,Jacek Tyszkiewicz / Katarzyna Sobieraj
2018,,Maciej Rokosz / Piotr Tyszkiewicz,Tomasz Kośmicki / Adrian Górka,Paweł Żebrowski / Maciej Żebrowski
2019,,Paweł Żebrowski/Maciej Żebrowski,Tomasz Jankowiak/Piotr Cieśla,Mirosław Marcinkiewicz/Piotr Ukleja
2020,Ustka,Maciej Rokosz/Piotr Tyszkiewicz,Paweł Żebrowski/Maciej Żebrowski,Jacek Tyszkiewicz/Adam Szyszkowski 
