1953,Juliusz Sieradzki,,Szloser
1954,Walenty Szraj,,
1955,Walenty Szraj,Czesław Marchaj,
1956,Zygmunt Twardowski,,
1957,Zygmunt Twardowski,,
1958,Andrzej Podolski,,
1959,Jerzy Szloser,,
1960,Włodzimierz Fischer,,
1961,Tadeusz Żero,,
1962,Bolesław Knasiecki,,
1963,Michał Skalisz,,
1964,Lech Poklewski,Zygmunt Twardowski,Z. Paszkiewicz
1965,Tadeusz Żero,Michał Skalisz,Zygmunt Twardowski
1966,Michał Skalisz,Andrzej Rymkiewicz,Lech Poklewski
1967,Andrzej Rymkiewicz,Lech Poklewski,Z. Paszkiewicz
1968,Michał Skalisz,Wiesław Bracław,Andrzej Rymkiewicz
1969,Andrzej Zawieja,Andrzej Rymkiewicz,Janusz Knasiecki
1970,Wiesław Bracław,Ryszard Blaszka,Andrzej Rymkiewicz
1971,Andrzej Zawieja,Błażej Wyszkowski,Andrzej Rymkiewicz
1972,Andrzej Rymkiewicz,Andrzej Zawieja,Błażej Wyszkowski
1973,Andrzej Zawieja,Ryszard Blaszka,
1974,Ryszard Blaszka,Romuald Knasiecki,Andrzej Rymkiewicz
1975,Andrzej Zawieja,Ryszard Blaszka,Ryszard Skarbiński
1976,Romuald Knasiecki,Ryszard Blaszka,Tomasz Rumszewicz
1977,Tomasz Rumszewicz,Romuald Knasiecki,Ryszard Skarbiński
1978,Ryszard Skarbiński,Tomasz Rumszewicz,Ryszard Blaszka
1979,Henryk Blaszka,Ryszard Skarbiński,Mirosław Rychcik
1980,Henryk Blaszka,Mirosław Rychcik,Ryszard Skarbiński
1981,Henryk Blaszka,,
1982,Henryk Blaszka,,
1983,Mirosław Rychcik,,
1984,Mirosław Rychcik,,
1985,Mirosław Rychcik,,
1986,Henryk Blaszka,,
1987,Jacek Sobkowiak,Tomasz Rumszewicz,Maciej Skibski
1988,Maciej Skibski,Włodzimierz Radwaniecki,
1989,Paweł Pawlaczyk,Maciej Skibski,Henryk Blaszka
1990,Maciej Skibski,,
1991,Włodzimierz Radwaniecki,,
1992,Maciej Skibski,Mateusz Kusznierewicz,
1993,Mateusz Kusznierewicz,Dominik Życki,Jarosław Górski
1994,Dominik Życki,Mateusz Kusznierewicz,
1995,Mateusz Kusznierewicz,,
1996,Mateusz Kusznierewicz,,
1997,Mateusz Kusznierewicz,,
1998,Mateusz Kusznierewicz,Dominik Życki,Andrzej Czapski
1999,Mateusz Kusznierewicz,Dominik Życki,Rafał Szukiel
2000,Mateusz Kusznierewicz,Rafał Szukiel,Wacław Szukiel
2001,Mateusz Kusznierewicz,,Rafał Szukiel
2002,Mateusz Kusznierewicz,,Rafał Szukiel
2003,Mateusz Kusznierewicz,,Rafał Szukiel
2004,Wacław Szukiel,Rafał Szukiel,
2005,Wacław Szukiel,Rafał Szukiel,
2006,Wacław Szukiel,Rafał Szukiel,Piotr Kula
2007,Wacław Szukiel,Piotr Kula,Rafał Szukiel
2008,Piotr Kula,,
2009,Rafał Szukiel,Piotr Kula,
2010,Rafał Szukiel,Piotr Kula,Jakub Dumara
2011,Piotr Kula,Jakub Dumara,Miłosz Wojewski
2012,Piotr Kula,Tomasz Kośmicki,Rafał Szukiel
2013,Piotr Kula,,
2014,Piotr Kula,,Miłosz Wojewski
2015,Mikołaj Lahn,Piotr Kula,Miłosz Wojewski
2016,Piotr Kula,Mikołaj Lahn,Łukasz Lesiński
2017,Piotr Kula,Mikołaj Lahn,Łukasz Lesiński
2018,Piotr Kula,Mikołaj Lahn,Łukasz Lesiński
