2009,POL Kamil Ortyl / Robert Zawadowicz,POL Marcin Rymer / Jarosław Wróblewski,POL Mateusz Sylwestrzak / Małgorzata Malinowska
2010,POL Bolesław Płachecki / Maciej Wilanowski,POL Dorota Dajkowska / Bartosz Flak,POL Paweł Traczyński / Andrzej Pac
2011,POL Mirosław Majcher / Jarosław Wróblewski,POL Dorota Dajkowska / Filip Pietrzak,DEU Martin Jannsen / Fririof Richter
2012,POL Paweł Nawrocki / Jakub Mendys,DEU Martin Jannsen / Florian Steidle,POL Artur Ćwiklinski / Dariusz Ćwiklinski
2013,POL Konrad Berezowski / Anna Kozińska,POL Jarosław Wróblewski/ Piotr Rasiński,POL Szczepan Wroński / Bolesław Płachecki
2014,POL Paweł Nawrocki / Michał Leszko,POL Anna Szmul / Gabriela Murach,POL Witold Małecki / Maciej Odważny
2015,POL Anna Jabłońska / Mateusz Blazejak,POL Paweł Nawrocki / Piotr Dzierżewicz,POL Witold Małecki / Maciej Odważny
2016,POL Paweł Nawrocki / Piotr Dzierżewicz,POL Anna Szmul / Gabriela Murach,POL Anna Jabłońska / Agata Czarmińska
2017,POL Łukasz Przybytek / Patryk Sawicki,POL Paweł Nawrocki / Piotr Dzierżewicz,POL Witold Małecki / Maciej Odważny
2018,POL Witold Małecki / Maciej Odważny,POL Łukasz Maksymowicz / Wojciech Groszyk,POL Tomasz Zambrzycki / Paweł Matusiak
2019,POL Witold Małecki / Maciej Odważny,POL Paweł Wałecki / Michał Kołodziej,POL Paweł Nawrocki / Piotr Dzierżewicz
