1956,,,,Wojciech Jacobson
1974,,Politechnika Świętokrzyska/Lech Świercz/Aleksandr Jezierski/Marek Gruszka,,
1975,,Politechnika Świętokrzyska/Lech Świercz/Aleksandr Jezierski/Marek Gruszka,,
1976,,,Politechnika Świętokrzyska/Lech Świercz,
1979,,Jarosław Sołtys,,
1980,,,,Jarosław Sołtys
1981,,Jarosław Sołtys,,
2000,Wilkasy,,,Politechnika Śląska
2001,,,Michał Korneszczuk,
2003,Wilkasy,PG Gdańsk/Marek Stańczyk,Politechnika Śląska/Dominik Niśkiewicz,Akademia Morska Gdynia/Michał Sobieraj
2005,Wilkasy,Politechnika Poznańska/Piotr Mańczak,SGH Warszawa/Agata Racz,Politechnika Śląska/Dominik Niśkiewicz
2007,Wilkasy,,,Politechnika Śląska/Oskar Śleziona
2008,Wilkasy,Politechnika Śląska/Oskar Śleziona,PG Gdańsk/Aleksander Fereniec,Politechnika Warszawska/Tobiasz Zajączkoski
2010,Wilkasy,PG Gdańsk/Filip Pietrzak/Jakub Grzesiak/Karol Modrzyński,PG Gdańsk/Aleksander Fereniec/Paweł Bonikowski/Piotr Miszkiewicz,PG Gdańsk/Tymon Sadowski/Michał Wojtowicz/Karol Dołęga
2011,Wilkasy,UJ Kraków/Piotr Rzepecki,UG Gdańsk/Grzegorz Goździk,UWM Olsztyn/Tomasz Januszewski
2012,Wilkasy,PG Gdańsk/Filip Pietrzak/Patryk Richter/Marek Zalewski,UPr Poznań/Krzysztof Kluza/Anna Maria Klimowska/Piotr Jur,UG Gdańsk/Grzegorz Goździk
2013,Wilkasy,Politechnika Rzeszowska/Szymon Tkacz,Politechnika Rzeszowska/Aleksander Arian,PG Gdańsk/Patryk Richter
2014,Wilkasy,PG Gdańsk/Tymon Sadowski/Jacek Zalewski/Kacper Olszewski,PG Gdańsk/Patryk Richter/Jakub Surowiec/Marek Zalewski,AWF Warszawa/Krzysztof Królik
2015,Wilkasy,AWF Warszawa/Krzysztof Królik,PG Gdańsk/Patryk Richter/Marek Zalewski/Jakub Surowiec,PG Gdańsk/Wiktor Czałbowski/Marcin Komosińsk/Michał Piernicki
2016,Wilkasy,PG Gdańsk/Jakub Marciniak/Michał Pietrzak/Michał Masiulanis,PG Gdańsk/Sławomir Plichta/Mikołaj Gielnik/Patryk Płotka,PG Gdańsk/Patryk Richter/Marek Zalewki/Michał Piernicki
2017,Wilkasy,PG Gdańsk/Patryk Richter/Jakub Surowiec/Marek Zalewski,SGH Warszawa/Wojciech Chamier–Ciemiński,WSZ Gdańsk/Igor Tarasiuk/Kacper Ślepowroński/Michał Pietrzak
2018,Wilkasy,PG Gdańsk/Jakub Surowiec/Tomasz Piernicki/Patryk Richter,SGH Warszawa/Maksymilian Jabłecki/Filip Nurkowski/Katarzyna Trutman,WSZ Gdańsk/Igor Tarasiuk/Adam Kuźma/Marcin Polonis
2019,Wilkasy,PG Gdańsk/Marcin Styborski/Jan Krasodomski/Dawid Płotka,WSZ Gdańsk/Igor Tarasiuk/Adam Kuźma/Marcin Polonis,AGH Kraków/Aleksander Michalski/Jędrzej Kurzępa/Robert Żaak
2020,Wilkasy,PG Gdańsk/Aleksander Michalski/Jakub Padzik/Izabela Satrjan,SGH Warszawa/Wojciech Chamier–Ciemiński/Jakub Matla/Karolina Mikulec/Michał Sawicki,PG Gdańsk/Marcin Styborski/Jan Krasodomski/Dawid Płotka
2021,Wilkasy,PG Gdańsk/Marcin Styborski/Dawid Płotka/Paweł Leksycki/Tomasz Klimczuk,PG Gdańsk/Aleksander Michalski/Jan Krasodomski/Jakub Padzik,WAT Warszawa/Rafał Błażejczyk/Jacek Sajnóg/Karolina Skowrońska
2022,Wilkasy,453/AWFiS Gdańsk/Kacper Paszek/Bartosz Reiter/Bartłomiej Szlija,1052/PG Gdańsk/Aleksander Michalski/Tomasz Kochanowski/Jan Krasodomski/Paweł Leksycki,377/PG Gdańsk/Patryk Kosmalski/Tomasz Lewandowski/Karolina Żurek
